,,,,,,,,,,,Vegas,,,
Rk,Team,Date,Over/Under,Temperature,Day,G#,Week,,Opp,Result,Spread,vs. Line,Over/Under,OU Result
797,BAL,10/26/03,36.5,67,Sun,7,8,,DEN,W 26-6,-2.5,covered,36.5,under
798,BAL,10/19/03,36,63,Sun,6,7,@,CIN,L 26-34,-1,did not cover,36,over
799,BAL,10/12/03,37,96,Sun,5,6,@,ARI,W 26-18,-6.5,covered,37,over
800,BAL,9/28/03,43.5,70,Sun,4,4,,KAN,L 10-17,3,did not cover,43.5,under
801,BAL,9/21/03,38.5,74,Sun,3,3,@,SDG,W 24-10,1.5,covered,38.5,under
802,BAL,9/14/03,39,73,Sun,2,2,,CLE,W 33-13,-2.5,covered,39,over
803,BAL,9/7/03,38.5,71,Sun,1,1,@,PIT,L 15-34,4,did not cover,38.5,over
804,BAL,12/29/02,39,32,Sun,16,17,@,PIT,L 31-34,8,covered,39,over
805,BAL,12/22/02,39.5,53,Sun,15,16,,CLE,L 13-14,-2.5,did not cover,39.5,under
806,BAL,12/15/02,35,70,Sun,14,15,@,HOU,W 23-19,-3,covered,35,over
807,BAL,12/8/02,42.5,45,Sun,13,14,,NOR,L 25-37,2,did not cover,42.5,over
808,BAL,12/1/02,37.5,29,Sun,12,13,@,CIN,W 27-23,-2.5,covered,37.5,over
809,BAL,11/24/02,38.5,53,Sun,11,12,,TEN,W 13-12,2.5,covered,38.5,under
810,BAL,11/17/02,34.5,68,Sun,10,11,@,MIA,L 7-26,5,did not cover,34.5,under
811,BAL,11/10/02,37,66,Sun,9,10,,CIN,W 38-27,-4,covered,37,over
812,BAL,10/27/02,37.5,61,Sun,7,8,,PIT,L 18-31,3,did not cover,37.5,over
813,BAL,10/20/02,38,56,Sun,6,7,,JAX,W 17-10,1.5,covered,38,under
814,BAL,10/6/02,36.5,65,Sun,4,5,@,CLE,W 26-21,6,covered,36.5,over
815,BAL,9/30/02,35,71,Mon,3,4,,DEN,W 34-23,9,covered,35,over
816,BAL,9/15/02,32,78,Sun,2,2,,TAM,L 0-25,4.5,did not cover,32,under
817,BAL,9/8/02,33,78,Sun,1,1,@,CAR,L 7-10,0,did not cover,33,under
818,BAL,1/7/02,37.5,36,Mon,16,17,,MIN,W 19-3,-10,covered,37.5,under
819,BAL,12/29/01,34,65,Sat,15,16,@,TAM,L 10-22,1.5,did not cover,34,under
820,BAL,12/23/01,33.5,46,Sun,14,15,,CIN,W 16-0,-10.5,covered,33.5,under
821,BAL,12/16/01,33.5,42,Sun,13,14,,PIT,L 21-26,-3,did not cover,33.5,over
822,BAL,12/2/01,43,51,Sun,12,12,,IND,W 39-27,-7,covered,43,over
823,BAL,11/25/01,34,79,Sun,11,11,@,JAX,W 24-21,-3,push,34,over
824,BAL,11/18/01,33,54,Sun,10,10,,CLE,L 17-27,-8,did not cover,33,over
825,BAL,11/12/01,35,52,Mon,9,9,@,TEN,W 16-10,-1.5,covered,35,under
826,BAL,11/4/01,33,59,Sun,8,8,@,PIT,W 13-10,2,covered,33,under
827,BAL,10/28/01,33,50,Sun,7,7,,JAX,W 18-17,-7.5,did not cover,33,over
828,BAL,10/21/01,33,61,Sun,6,6,@,CLE,L 14-24,-7.5,did not cover,33,over
829,BAL,10/14/01,34,54,Sun,5,5,@,GNB,L 23-31,0,did not cover,34,over
830,BAL,10/7/01,33.5,55,Sun,4,4,,TEN,W 26-7,-3.5,covered,33.5,under
831,BAL,9/30/01,41,71,Sun,3,3,@,DEN,W 20-13,4.5,covered,41,under
832,BAL,9/23/01,33.5,73,Sun,2,2,@,CIN,L 10-21,-7,did not cover,33.5,under
833,BAL,9/9/01,33.5,83,Sun,1,1,,CHI,W 17-6,-10.5,covered,33.5,under
834,BAL,12/24/00,35.5,36,Sun,16,17,,NYJ,W 34-20,-6,covered,35.5,over
835,BAL,12/17/00,37.5,68,Sun,15,16,@,ARI,W 13-7,-15,did not cover,37.5,under
836,BAL,12/10/00,36.5,39,Sun,14,15,,SDG,W 24-3,-13.5,covered,36.5,under
837,BAL,11/26/00,34,55,Sun,13,13,,CLE,W 44-7,-15,covered,34,over
838,BAL,11/19/00,36,43,Sun,12,12,,DAL,W 27-0,-7,covered,36,under
839,BAL,11/12/00,33,56,Sun,11,11,@,TEN,W 24-23,4,covered,33,over
840,BAL,11/5/00,32.5,57,Sun,10,10,@,CIN,W 27-7,-6,covered,32.5,over
841,BAL,10/29/00,33,53,Sun,9,9,,PIT,L 6-9,-4.5,did not cover,33,under
842,BAL,10/22/00,35,64,Sun,8,8,,TEN,L 6-14,-1,did not cover,35,under
843,BAL,10/15/00,34.5,75,Sun,7,7,@,WAS,L 3-10,3.5,did not cover,34.5,under
844,BAL,10/8/00,37.5,62,Sun,6,6,@,JAX,W 15-10,2.5,covered,37.5,under
845,BAL,10/1/00,37,70,Sun,5,5,@,CLE,W 12-0,-8.5,covered,37,under
846,BAL,9/24/00,38,70,Sun,4,4,,CIN,W 37-0,-11.5,covered,38,under
847,BAL,9/17/00,34.5,80,Sun,3,3,@,MIA,L 6-19,-1.5,did not cover,34.5,under
848,BAL,9/10/00,36.5,82,Sun,2,2,,JAX,W 39-36,-3,push,36.5,over
849,BAL,9/3/00,37,74,Sun,1,1,@,PIT,W 16-0,-2.5,covered,37,under
850,BUF,11/10/24,46.5,63,Sun,10,10,@,IND,W 30-20,-4,covered,46.5,over
851,BUF,11/3/24,49.5,54,Sun,9,9,,MIA,W 30-27,-6,did not cover,49.5,over
852,BUF,10/27/24,45.5,55,Sun,8,8,@,SEA,W 31-10,-3,covered,45.5,under
853,BUF,10/20/24,41,66,Sun,7,7,,TEN,W 34-10,-9.5,covered,41,over
854,BUF,10/14/24,40.5,49,Mon,6,6,@,NYJ,W 23-20,-1,covered,40.5,over
855,BUF,10/6/24,47.5,86,Sun,5,5,@,HOU,L 20-23,1,did not cover,47.5,under
856,BUF,9/29/24,46.5,68,Sun,4,4,@,BAL,L 10-35,2.5,did not cover,46.5,under
857,BUF,9/23/24,45.5,68,Mon,3,3,,JAX,W 47-10,-5.5,covered,45.5,over
858,BUF,9/12/24,49,86,Thu,2,2,@,MIA,W 31-10,2,covered,49,under
859,BUF,9/8/24,46.5,61,Sun,1,1,,ARI,W 34-28,-6.5,did not cover,46.5,over
860,BUF,1/7/24,48,63,Sun,17,18,@,MIA,W 21-14,-2.5,covered,48,under
861,BUF,12/31/23,40,35,Sun,16,17,,NWE,W 27-21,-14,did not cover,40,over
862,BUF,12/23/23,44,62,Sat,15,16,@,LAC,W 24-22,-12.5,did not cover,44,over
863,BUF,12/17/23,49.5,48,Sun,14,15,,DAL,W 31-10,-2,covered,49.5,under
864,BUF,12/10/23,48.5,45,Sun,13,14,@,KAN,W 20-17,1.5,covered,48.5,under
865,BUF,11/26/23,48.5,47,Sun,12,12,@,PHI,L 34-37 (OT),3,push,48.5,over
866,BUF,11/19/23,39,40,Sun,11,11,,NYJ,W 32-6,-7.5,covered,39,under
867,BUF,11/13/23,47.5,49,Mon,10,10,,DEN,L 22-24,-7.5,did not cover,47.5,under
868,BUF,11/5/23,50.5,51,Sun,9,9,@,CIN,L 18-24,1.5,did not cover,50.5,under
869,BUF,10/26/23,43.5,66,Thu,8,8,,TAM,W 24-18,-10,did not cover,43.5,under
870,BUF,10/22/23,41.5,55,Sun,7,7,@,NWE,L 25-29,-7.5,did not cover,41.5,over
871,BUF,10/15/23,43.5,46,Sun,6,6,,NYG,W 14-9,-15.5,did not cover,43.5,under
872,BUF,10/8/23,48.5,75,Sun,5,5,,JAX,L 20-25,-5.5,did not cover,48.5,under
873,BUF,10/1/23,53,70,Sun,4,4,,MIA,W 48-20,-2.5,covered,53,over
874,BUF,9/24/23,43.5,65,Sun,3,3,@,WAS,W 37-3,-4.5,covered,43.5,under
875,BUF,9/17/23,47,70,Sun,2,2,,LVR,W 38-10,-8,covered,47,over
876,BUF,9/11/23,45.5,72,Mon,1,1,@,NYJ,L 16-22 (OT),-2.5,did not cover,45.5,under
877,BUF,1/8/23,43.5,30,Sun,16,18,,NWE,W 35-23,-7.5,covered,43.5,over
878,BUF,12/24/22,40,7,Sat,15,16,@,CHI,W 35-13,-8,covered,40,over
879,BUF,12/17/22,43.5,29,Sat,14,15,,MIA,W 32-29,-7,did not cover,43.5,over
880,BUF,12/11/22,43,36,Sun,13,14,,NYJ,W 20-12,-10,did not cover,43,under
881,BUF,12/1/22,43.5,35,Thu,12,13,@,NWE,W 24-10,-3.5,covered,43.5,under
882,BUF,11/24/22,54.5,44,Thu,11,12,@,DET,W 28-25,-9.5,did not cover,54.5,under
883,BUF,11/20/22,50,24,Sun,10,11,,CLE,W 31-23,-7.5,covered,50,over
884,BUF,11/13/22,44.5,38,Sun,9,10,,MIN,L 30-33 (OT),-6.5,did not cover,44.5,over
885,BUF,11/6/22,46,69,Sun,8,9,@,NYJ,L 17-20,-11,did not cover,46,under
886,BUF,10/30/22,47,50,Sun,7,8,,GNB,W 27-17,-10.5,did not cover,47,under
887,BUF,10/9/22,45.5,55,Sun,5,5,,PIT,W 38-3,-14,covered,45.5,under
888,BUF,10/2/22,51,58,Sun,4,4,@,BAL,W 23-20,-3,push,51,under
889,BUF,9/25/22,53,89,Sun,3,3,@,MIA,L 19-21,-4.5,did not cover,53,under
890,BUF,9/19/22,47.5,70,Mon,2,2,,TEN,W 41-7,-10,covered,47.5,over
891,BUF,9/8/22,52,88,Thu,1,1,@,LAR,W 31-10,-2.5,covered,52,under
892,BUF,1/9/22,40.5,36,Sun,17,18,,NYJ,W 27-10,-16.5,covered,40.5,under
893,BUF,1/2/22,44,26,Sun,16,17,,ATL,W 29-15,-14.5,did not cover,44,push
894,BUF,12/26/21,43.5,38,Sun,15,16,@,NWE,W 33-21,1.5,covered,43.5,over
895,BUF,12/19/21,43,30,Sun,14,15,,CAR,W 31-14,-14.5,covered,43,over
896,BUF,12/12/21,54.5,82,Sun,13,14,@,TAM,L 27-33 (OT),3.5,did not cover,54.5,over
897,BUF,12/6/21,44,36,Mon,12,13,,NWE,L 10-14,-4,did not cover,44,under
898,BUF,11/25/21,45,69,Thu,11,12,@,NOR,W 31-6,-6.5,covered,45,under
899,BUF,11/21/21,49.5,49,Sun,10,11,,IND,L 15-41,-7,did not cover,49.5,over
900,BUF,11/14/21,47.5,47,Sun,9,10,@,NYJ,W 45-17,-13,covered,47.5,over
901,BUF,11/7/21,48.5,59,Sun,8,9,@,JAX,L 6-9,-14.5,did not cover,48.5,under
902,BUF,10/31/21,49,54,Sun,7,8,,MIA,W 26-11,-14,covered,49,under
903,BUF,10/18/21,53.5,66,Mon,6,6,@,TEN,L 31-34,-6,did not cover,53.5,over
904,BUF,10/10/21,56.5,76,Sun,5,5,@,KAN,W 38-20,2.5,covered,56.5,over
905,BUF,10/3/21,47,67,Sun,4,4,,HOU,W 40-0,-17.5,covered,47,under
906,BUF,9/26/21,45.5,67,Sun,3,3,,WAS,W 43-21,-7,covered,45.5,over
907,BUF,9/19/21,47.5,89,Sun,2,2,@,MIA,W 35-0,-3.5,covered,47.5,under
908,BUF,9/12/21,48.5,73,Sun,1,1,,PIT,L 16-23,-6.5,did not cover,48.5,under
909,BUF,1/3/21,43,35,Sun,16,17,,MIA,W 56-26,3.5,covered,43,over
910,BUF,12/28/20,47.5,41,Mon,15,16,@,NWE,W 38-9,-7,covered,47.5,under
911,BUF,12/19/20,49,47,Sat,14,15,@,DEN,W 48-19,-5.5,covered,49,over
912,BUF,12/13/20,48.5,35,Sun,13,14,,PIT,W 26-15,-2,covered,48.5,under
913,BUF,11/29/20,51.5,48,Sun,11,12,,LAC,W 27-17,-4.5,covered,51.5,under
914,BUF,11/15/20,56,78,Sun,10,10,@,ARI,L 30-32,3,covered,56,over
915,BUF,11/8/20,55.5,69,Sun,9,9,,SEA,W 44-34,3,covered,55.5,over
916,BUF,11/1/20,41,41,Sun,8,8,,NWE,W 24-21,-4,did not cover,41,over
917,BUF,10/25/20,47,52,Sun,7,7,@,NYJ,W 18-10,-9.5,did not cover,47,under
918,BUF,10/19/20,55,51,Mon,6,6,,KAN,L 17-26,5.5,did not cover,55,under
919,BUF,10/13/20,52,73,Tue,5,5,@,TEN,L 16-42,-3,did not cover,52,over
920,BUF,10/4/20,53,91,Sun,4,4,@,LVR,W 30-23,-3,covered,53,push
921,BUF,9/27/20,46.5,79,Sun,3,3,,LAR,W 35-32,-1.5,covered,46.5,over
922,BUF,9/20/20,42.5,90,Sun,2,2,@,MIA,W 31-28,-5.5,did not cover,42.5,over
923,BUF,9/13/20,39.5,67,Sun,1,1,,NYJ,W 27-17,-6.5,covered,39.5,over
924,BUF,12/29/19,37,43,Sun,16,17,,NYJ,L 6-13,1.5,did not cover,37,under
925,BUF,12/21/19,38.5,33,Sat,15,16,@,NWE,L 17-24,7,push,38.5,over
926,BUF,12/15/19,37,31,Sun,14,15,@,PIT,W 17-10,1,covered,37,under
927,BUF,12/8/19,44,43,Sun,13,14,,BAL,L 17-24,6.5,did not cover,44,under
928,BUF,11/24/19,37,40,Sun,11,12,,DEN,W 20-3,-3.5,covered,37,under
929,BUF,11/17/19,41.5,62,Sun,10,11,@,MIA,W 37-20,-7,covered,41.5,over
930,BUF,11/3/19,37,42,Sun,8,9,,WAS,W 24-9,-10.5,covered,37,under
931,BUF,10/27/19,39.5,54,Sun,7,8,,PHI,L 13-31,-1,did not cover,39.5,over
932,BUF,10/20/19,42.5,65,Sun,6,7,,MIA,W 31-21,-17,did not cover,42.5,over
933,BUF,10/6/19,39.5,77,Sun,5,5,@,TEN,W 14-7,3.5,covered,39.5,under
934,BUF,9/29/19,41.5,58,Sun,4,4,,NWE,L 10-16,7,covered,41.5,under
935,BUF,9/22/19,43.5,83,Sun,3,3,,CIN,W 21-17,-5.5,did not cover,43.5,under
936,BUF,9/15/19,44.5,79,Sun,2,2,@,NYG,W 28-14,-1,covered,44.5,under
937,BUF,9/8/19,41,77,Sun,1,1,@,NYJ,W 17-16,2.5,covered,41,under
938,BUF,12/30/18,39.5,33,Sun,16,17,,MIA,W 42-17,-5.5,covered,39.5,over
939,BUF,12/23/18,45,40,Sun,15,16,@,NWE,L 12-24,13.5,covered,45,under
940,BUF,12/16/18,40,39,Sun,14,15,,DET,W 14-13,-2.5,did not cover,40,under
941,BUF,12/9/18,37,31,Sun,13,14,,NYJ,L 23-27,-4.5,did not cover,37,over
942,BUF,12/2/18,40,86,Sun,12,13,@,MIA,L 17-21,3.5,did not cover,40,under
943,BUF,11/25/18,36.5,44,Sun,11,12,,JAX,W 24-21,3,covered,36.5,over
944,BUF,11/11/18,38,46,Sun,10,10,@,NYJ,W 41-10,7,covered,38,over
945,BUF,11/4/18,38,49,Sun,9,9,,CHI,L 9-41,10.5,did not cover,38,over
946,BUF,10/29/18,44.5,46,Mon,8,8,,NWE,L 6-25,13.5,did not cover,44.5,under
947,BUF,10/21/18,43.5,44,Sun,7,7,@,IND,L 5-37,7,did not cover,43.5,under
948,BUF,10/14/18,40.5,87,Sun,6,6,@,HOU,L 13-20,10.5,covered,40.5,under
949,BUF,10/7/18,38.5,62,Sun,5,5,,TEN,W 13-12,6,covered,38.5,under
950,BUF,9/30/18,43.5,49,Sun,4,4,@,GNB,L 0-22,8.5,did not cover,43.5,under
951,BUF,9/16/18,41.5,83,Sun,2,2,,LAC,L 20-31,7.5,did not cover,41.5,over
952,BUF,9/9/18,39,61,Sun,1,1,@,BAL,L 3-47,7.5,did not cover,39,over
953,BUF,12/31/17,41.5,71,Sun,16,17,@,MIA,W 22-16,-2.5,covered,41.5,under
954,BUF,12/24/17,47.5,35,Sun,15,16,@,NWE,L 16-37,11,did not cover,47.5,over
955,BUF,12/17/17,39.5,22,Sun,14,15,,MIA,W 24-16,-3.5,covered,39.5,over
956,BUF,12/10/17,36.5,32,Sun,13,14,,IND,W 13-7 (OT),-3.5,covered,36.5,under
957,BUF,12/3/17,48.5,48,Sun,12,13,,NWE,L 3-23,7.5,did not cover,48.5,under
958,BUF,11/26/17,47,62,Sun,11,12,@,KAN,W 16-10,8.5,covered,47,under
959,BUF,11/19/17,41.5,76,Sun,10,11,@,LAC,L 24-54,7,did not cover,41.5,over
960,BUF,11/12/17,48.5,42,Sun,9,10,,NOR,L 10-47,2,did not cover,48.5,over
961,BUF,11/2/17,42,68,Thu,8,9,@,NYJ,L 21-34,-3,did not cover,42,over
962,BUF,10/29/17,47,42,Sun,7,8,,OAK,W 34-14,-2,covered,47,over
963,BUF,10/22/17,46.5,74,Sun,6,7,,TAM,W 30-27,-3,push,46.5,over
964,BUF,10/8/17,39,63,Sun,5,5,@,CIN,L 16-20,3,did not cover,39,under
965,BUF,9/24/17,40,83,Sun,3,3,,DEN,W 26-16,3.5,covered,40,over
966,BUF,9/17/17,43,83,Sun,2,2,@,CAR,L 3-9,6.5,covered,43,under
967,BUF,9/10/17,42,65,Sun,1,1,,NYJ,W 21-12,-7,covered,42,under
968,BUF,1/1/17,43,42,Sun,16,17,@,NYJ,L 10-30,-3.5,did not cover,43,under
969,BUF,12/24/16,44.5,38,Sat,15,16,,MIA,L 31-34 (OT),-4.5,did not cover,44.5,over
970,BUF,12/18/16,43,26,Sun,14,15,,CLE,W 33-13,-10.5,covered,43,over
971,BUF,12/11/16,45.5,27,Sun,13,14,,PIT,L 20-27,1,did not cover,45.5,over
972,BUF,12/4/16,48.5,59,Sun,12,13,@,OAK,L 24-38,3,did not cover,48.5,over
973,BUF,11/27/16,43.5,42,Sun,11,12,,JAX,W 28-21,-8.5,did not cover,43.5,over
974,BUF,11/20/16,48,36,Sun,10,11,@,CIN,W 16-12,2.5,covered,48,under
975,BUF,11/7/16,43.5,61,Mon,9,9,@,SEA,L 25-31,5.5,did not cover,43.5,over
976,BUF,10/30/16,48,49,Sun,8,8,,NWE,L 25-41,5.5,did not cover,48,over
977,BUF,10/23/16,46,81,Sun,7,7,@,MIA,L 25-28,-2.5,did not cover,46,over
978,BUF,10/16/16,44,72,Sun,6,6,,SFO,W 45-16,-7.5,covered,44,over
979,BUF,10/9/16,41.5,91,Sun,5,5,@,LAR,W 30-19,-2.5,covered,41.5,over
980,BUF,10/2/16,41,56,Sun,4,4,@,NWE,W 16-0,3.5,covered,41,under
981,BUF,9/25/16,48,64,Sun,3,3,,ARI,W 33-18,5,covered,48,over
982,BUF,9/15/16,40.5,60,Thu,2,2,,NYJ,L 31-37,-1,did not cover,40.5,over
983,BUF,9/11/16,44.5,84,Sun,1,1,@,BAL,L 7-13,3,did not cover,44.5,under
984,BUF,1/3/16,42,35,Sun,16,17,,NYJ,W 22-17,3,covered,42,under
985,BUF,12/27/15,42,39,Sun,15,16,,DAL,W 16-6,-6.5,covered,42,under
986,BUF,12/20/15,44,43,Sun,14,15,@,WAS,L 25-35,-2.5,did not cover,44,over
987,BUF,12/13/15,47,66,Sun,13,14,@,PHI,L 20-23,1,did not cover,47,under
988,BUF,12/6/15,41.5,47,Sun,12,13,,HOU,W 30-21,-3.5,covered,41.5,over
989,BUF,11/29/15,41.5,35,Sun,11,12,@,KAN,L 22-30,5.5,did not cover,41.5,over
990,BUF,11/23/15,48,29,Mon,10,11,@,NWE,L 13-20,7,push,48,under
991,BUF,11/12/15,42.5,60,Thu,9,10,@,NYJ,W 22-17,2.5,covered,42.5,under
992,BUF,11/8/15,44,49,Sun,8,9,,MIA,W 33-17,-3,covered,44,over
993,BUF,10/25/15,41,48,Sun,7,7,@,JAX,L 31-34,-4,did not cover,41,over
994,BUF,10/18/15,43,40,Sun,6,6,,CIN,L 21-34,3,did not cover,43,over
995,BUF,10/11/15,42,67,Sun,5,5,@,TEN,W 14-13,-1,push,42,under
996,BUF,10/4/15,45.5,60,Sun,4,4,,NYG,L 10-24,-5.5,did not cover,45.5,under
997,BUF,9/27/15,41.5,87,Sun,3,3,@,MIA,W 41-14,2.5,covered,41.5,over
998,BUF,9/20/15,44,62,Sun,2,2,,NWE,L 32-40,1,did not cover,44,over
999,BUF,9/13/15,45,56,Sun,1,1,,IND,W 27-14,2.5,covered,45,under
1000,BUF,12/28/14,44,49,Sun,16,17,@,NWE,W 17-9,6.5,covered,44,under
1001,BUF,12/21/14,42,64,Sun,15,16,@,OAK,L 24-26,-6.5,did not cover,42,over
1002,BUF,12/14/14,50,38,Sun,14,15,,GNB,W 21-13,4,covered,50,under
1003,BUF,12/7/14,47.5,63,Sun,13,14,@,DEN,L 17-24,9.5,covered,47.5,under
1004,BUF,11/30/14,42,57,Sun,12,13,,CLE,W 26-10,-3,covered,42,under
1005,BUF,11/24/14,42.5,68,Mon,11,12,,NYJ,W 38-3,-2.5,covered,42.5,under
1006,BUF,11/13/14,42,74,Thu,10,11,@,MIA,L 9-22,5,did not cover,42,under
1007,BUF,11/9/14,42,42,Sun,9,10,,KAN,L 13-17,-1.5,did not cover,42,under
1008,BUF,10/26/14,40.5,59,Sun,8,8,@,NYJ,W 43-23,3,covered,40.5,over
1009,BUF,10/19/14,43.5,41,Sun,7,7,,MIN,W 17-16,-6.5,did not cover,43.5,under
1010,BUF,10/12/14,44,55,Sun,6,6,,NWE,L 22-37,-1,did not cover,44,over
1011,BUF,9/21/14,45.5,72,Sun,3,3,,SDG,L 10-22,-2.5,did not cover,45.5,under
1012,BUF,9/14/14,42.5,58,Sun,2,2,,MIA,W 29-10,-1.5,covered,42.5,under
1013,BUF,9/7/14,47,74,Sun,1,1,@,CHI,W 23-20 (OT),7,covered,47,under
1014,BUF,12/29/13,46.5,39,Sun,16,17,@,NWE,L 20-34,7,did not cover,46.5,over
1015,BUF,12/22/13,42,41,Sun,15,16,,MIA,W 19-0,1.5,covered,42,under
1016,BUF,12/15/13,43,60,Sun,14,15,@,JAX,W 27-20,-4,covered,43,over
1017,BUF,12/8/13,42.5,82,Sun,13,14,@,TAM,L 6-27,2.5,did not cover,42.5,under
1018,BUF,11/17/13,39.5,62,Sun,11,11,,NYJ,W 37-14,2,covered,39.5,over
1019,BUF,11/10/13,42.5,46,Sun,10,10,@,PIT,L 10-23,2.5,did not cover,42.5,under
1020,BUF,11/3/13,40.5,36,Sun,9,9,,KAN,L 13-23,4.5,did not cover,40.5,under
1021,BUF,10/20/13,43.5,87,Sun,7,7,@,MIA,W 23-21,6.5,covered,43.5,over
1022,BUF,10/13/13,41,65,Sun,6,6,,CIN,L 24-27 (OT),6,covered,41,over
1023,BUF,10/3/13,40.5,75,Thu,5,5,@,CLE,L 24-37,4,did not cover,40.5,over
1024,BUF,9/29/13,45,67,Sun,4,4,,BAL,W 23-20,4,covered,45,under
1025,BUF,9/22/13,41,67,Sun,3,3,@,NYJ,L 20-27,2.5,did not cover,41,over
1026,BUF,9/15/13,43.5,65,Sun,2,2,,CAR,W 24-23,3.5,covered,43.5,over
1027,BUF,9/8/13,50.5,65,Sun,1,1,,NWE,L 21-23,10.5,covered,50.5,under
1028,BUF,12/30/12,41,28,Sun,16,17,,NYJ,W 28-9,-3.5,covered,41,under
1029,BUF,12/23/12,43,73,Sun,15,16,@,MIA,L 10-24,5,did not cover,43,under
1030,BUF,12/9/12,42.5,37,Sun,13,14,,STL,L 12-15,-3,did not cover,42.5,under
1031,BUF,12/2/12,42,52,Sun,12,13,,JAX,W 34-18,-6,covered,42,over
1032,BUF,11/15/12,46,35,Thu,10,11,,MIA,W 19-14,-2.5,covered,46,under
1033,BUF,11/11/12,54,60,Sun,9,10,@,NWE,L 31-37,13.5,covered,54,over
1034,BUF,10/21/12,46.5,55,Sun,7,7,,TEN,L 34-35,-4.5,did not cover,46.5,over
1035,BUF,10/7/12,45,62,Sun,5,5,@,SFO,L 3-45,10,did not cover,45,over
1036,BUF,9/30/12,48.5,58,Sun,4,4,,NWE,L 28-52,4.5,did not cover,48.5,over
1037,BUF,9/23/12,45,53,Sun,3,3,@,CLE,W 24-14,-3,covered,45,under
1038,BUF,9/16/12,45,66,Sun,2,2,,KAN,W 35-17,-3,covered,45,over
1039,BUF,9/9/12,39,74,Sun,1,1,@,NYJ,L 28-48,3,did not cover,39,over
1040,BUF,1/1/12,50,51,Sun,16,17,@,NWE,L 21-49,10,did not cover,50,over
1041,BUF,12/24/11,43.5,30,Sat,15,16,,DEN,W 40-14,3,covered,43.5,over
1042,BUF,12/18/11,40.5,31,Sun,14,15,,MIA,L 23-30,-1.5,did not cover,40.5,over
1043,BUF,12/11/11,49,59,Sun,13,14,@,SDG,L 10-37,7,did not cover,49,under
1044,BUF,12/4/11,44,57,Sun,12,13,,TEN,L 17-23,-1,did not cover,44,under
1045,BUF,11/27/11,42.5,60,Sun,11,12,@,NYJ,L 24-28,9.5,covered,42.5,over
1046,BUF,11/20/11,44,80,Sun,10,11,@,MIA,L 8-35,3,did not cover,44,under
1047,BUF,11/6/11,45,57,Sun,8,9,,NYJ,L 11-27,-2.5,did not cover,45,under
1048,BUF,10/16/11,49,65,Sun,6,6,@,NYG,L 24-27,3,push,49,over
1049,BUF,10/9/11,53,74,Sun,5,5,,PHI,W 31-24,3,covered,53,over
1050,BUF,10/2/11,43,57,Sun,4,4,@,CIN,L 20-23,-3,did not cover,43,push
1051,BUF,9/25/11,54.5,78,Sun,3,3,,NWE,W 34-31,7.5,covered,54.5,over
1052,BUF,9/18/11,41,65,Sun,2,2,,OAK,W 38-35,-4,did not cover,41,over
1053,BUF,9/11/11,40,75,Sun,1,1,@,KAN,W 41-7,3.5,covered,40,over
1054,BUF,1/2/11,38,48,Sun,16,17,@,NYJ,L 7-38,1.5,did not cover,38,over
1055,BUF,12/26/10,45.5,22,Sun,15,16,,NWE,L 3-34,9,did not cover,45.5,under
1056,BUF,12/19/10,40,67,Sun,14,15,@,MIA,W 17-14,5.5,covered,40,under
1057,BUF,12/12/10,39,36,Sun,13,14,,CLE,W 13-6,0,covered,39,under
1058,BUF,11/28/10,44,36,Sun,11,12,,PIT,L 16-19 (OT),7,covered,44,under
1059,BUF,11/21/10,41,65,Sun,10,11,@,CIN,W 49-31,4,covered,41,over
1060,BUF,11/14/10,45,58,Sun,9,10,,DET,W 14-12,-1.5,covered,45,under
1061,BUF,10/31/10,46,51,Sun,7,8,@,KAN,L 10-13 (OT),7,covered,46,under
1062,BUF,10/24/10,40,70,Sun,6,7,@,BAL,L 34-37 (OT),12.5,covered,40,over
1063,BUF,10/10/10,41.5,62,Sun,5,5,,JAX,L 26-36,-2.5,did not cover,41.5,over
1064,BUF,10/3/10,37,51,Sun,4,4,,NYJ,L 14-38,6,did not cover,37,over
1065,BUF,9/26/10,43,68,Sun,3,3,@,NWE,L 30-38,14.5,covered,43,over
1066,BUF,9/19/10,43,58,Sun,2,2,@,GNB,L 7-34,13,did not cover,43,under
1067,BUF,9/12/10,39,62,Sun,1,1,,MIA,L 10-15,3,did not cover,39,under
1068,BUF,1/3/10,32,12,Sun,16,17,,IND,W 30-7,-8,covered,32,over
1069,BUF,12/20/09,41,28,Sun,14,15,,NWE,L 10-17,7,push,41,under
1070,BUF,12/13/09,38,42,Sun,13,14,@,KAN,W 16-10,-2.5,covered,38,under
1071,BUF,11/29/09,38.5,49,Sun,11,12,,MIA,W 31-14,3.5,covered,38.5,over
1072,BUF,11/22/09,41,74,Sun,10,11,@,JAX,L 15-18,8.5,covered,41,under
1073,BUF,11/15/09,41,68,Sun,9,10,@,TEN,L 17-41,7.5,did not cover,41,over
1074,BUF,11/1/09,41.5,49,Sun,8,8,,HOU,L 10-31,3.5,did not cover,41.5,under
1075,BUF,10/25/09,37,67,Sun,7,7,@,CAR,W 20-9,7,covered,37,under
1076,BUF,10/18/09,35.5,44,Sun,6,6,@,NYJ,W 16-13 (OT),9.5,covered,35.5,under
1077,BUF,10/11/09,42,47,Sun,5,5,,CLE,L 3-6,-5.5,did not cover,42,under
