Season,Team,win_percentage,Date,G#,Week,Game time,Rk,Spread...4,Over/Under...5,Temperature,Day,Location,Opp,Result,Spread...13,vs. Line,Over/Under...15,OU Result,after_bye
2024,MIN,0.833,2024-09-29,4,4,early,254,3,44,71,Sun,away,GNB,W 31-29,3,covered,44,over,0
2024,MIN,0.833,2024-09-22,3,3,early,286,1,46.5,63,Sun,home,HOU,W 34-7,1,covered,46.5,under,0
2024,MIN,0.833,2024-09-15,2,2,early,316,4.5,46,82,Sun,home,SFO,W 23-17,4.5,covered,46,under,0
2024,MIN,0.833,2024-09-08,1,1,early,349,-1.5,41,64,Sun,away,NYG,W 28-6,-1.5,covered,41,under,0
2024,MIN,0.833,2024-11-03,8,9,night,115,-5.5,47,47,Sun,home,IND,W 21-13,-5.5,covered,47,under,0
2024,MIN,0.833,2024-10-24,7,8,night,157,-3,48,66,Thu,away,LAR,L 20-30,-3,did not cover,48,over,0
2024,PHI,0.833,2024-10-27,7,8,early,149,2.5,47.5,59,Sun,away,CIN,W 37-17,2.5,covered,47.5,over,0
2024,PHI,0.833,2024-10-20,6,7,early,177,-3,43,71,Sun,away,NYG,W 28-3,-3,covered,43,under,0
2024,PHI,0.833,2024-10-13,5,6,early,23,-9.5,42.5,82,Sun,home,CLE,W 20-16,-9.5,did not cover,42.5,under,1
2024,PHI,0.833,2024-09-29,4,4,early,258,-1,42.5,88,Sun,away,TAM,L 16-33,-1,did not cover,42.5,over,0
2024,PHI,0.833,2024-09-22,3,3,early,290,2.5,49.5,87,Sun,away,NOR,W 15-12,2.5,covered,49.5,under,0
2024,PHI,0.833,2024-12-01,12,13,afternoon,11,3,51,41,Sun,away,BAL,W 24-19,3,covered,51,under,0
2024,PHI,0.833,2024-11-10,9,10,afternoon,93,-7.5,43.5,78,Sun,away,DAL,W 34-6,-7.5,covered,43.5,under,0
